City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Vostok,RU,2021-03-27 20:23:19,46.4856,135.8833,30.79,98,89,4.36
276,Korla,CN,2021-03-27 20:23:19,41.7597,86.1469,51.87,60,18,11.23
277,Palmer,US,2021-03-27 20:23:19,42.1584,-72.3287,64.0,34,75,11.5
278,Port Lincoln,AU,2021-03-27 20:23:20,-34.7333,135.8667,57.76,79,53,2.71
279,Morehead,US,2021-03-27 20:23:20,37.2711,-87.1764,73.0,64,75,11.5
280,Nhulunbuy,AU,2021-03-27 20:19:32,-12.2333,136.7667,78.8,94,75,8.05
281,Pochutla,MX,2021-03-27 20:23:20,15.7432,-96.4661,91.0,43,1,11.5
282,Winslow,US,2021-03-27 20:19:45,35.0242,-110.6974,54.0,40,40,5.75
283,San Antonio,US,2021-03-27 20:21:26,29.4241,-98.4936,87.8,51,40,5.75
284,Khandbari,NP,2021-03-27 20:23:21,27.3747,87.2039,61.29,23,0,4.61
285,Shamary,RU,2021-03-27 20:20:07,57.3434,58.2199,24.24,87,100,6.69
286,Mount Isa,AU,2021-03-27 20:23:21,-20.7333,139.5,78.8,27,52,13.8
287,Paea,PF,2021-03-27 20:23:22,-17.6833,-149.5833,86.0,66,40,5.75
288,Sabzevar,IR,2021-03-27 20:19:47,36.2126,57.6819,65.55,31,22,6.71
289,Vitre,FR,2021-03-27 20:23:22,48.1178,-1.2058,46.4,71,0,4.61
290,Keti Bandar,PK,2021-03-27 20:23:22,24.1447,67.4497,77.94,72,100,14.9
291,Karasburg,NA,2021-03-27 20:23:23,-28.0167,18.75,69.98,31,0,7.4
292,Pacific Grove,US,2021-03-27 20:23:23,36.6177,-121.9166,75.2,22,1,9.22
293,High Prairie,CA,2021-03-27 20:23:23,55.4334,-116.4858,41.0,60,100,8.05
294,Izhma,RU,2021-03-27 20:21:08,65.0083,53.9113,19.78,92,61,6.2
