City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Dombasle-Sur-Meurthe,FR,48.6252,6.3497,68.0,34,0,8.05,clear sky
148,Broken Hill,AU,-31.95,141.4333,60.8,55,1,6.91,clear sky
149,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,40,6.91,scattered clouds
150,Longyearbyen,SJ,78.2186,15.6401,32.0,80,40,11.5,scattered clouds
151,Kango,GA,0.1943,10.0951,81.66,84,99,5.41,light rain
152,Papara,BR,-3.9839,-38.7273,87.8,66,75,9.22,broken clouds
153,Maku,IR,39.2911,44.4521,38.26,57,4,2.3,clear sky
154,Arawa,PG,-6.2132,155.5367,76.23,91,43,2.66,scattered clouds
155,Ayacucho,PE,-13.1583,-74.2239,68.0,42,75,3.44,broken clouds
156,Monte Azul,BR,-15.155,-42.8747,97.32,17,16,1.57,few clouds
157,Nikolo-Pavlovskoye,RU,57.7831,60.0578,27.55,77,9,11.27,clear sky
158,Vanimo,PG,-2.6741,141.3028,76.32,90,93,3.91,overcast clouds
159,Namibe,AO,-15.1961,12.1522,76.28,69,75,12.37,broken clouds
160,Saint-Louis,SN,16.3333,-15.0,102.2,14,0,2.3,clear sky
161,Nome,US,64.5011,-165.4064,8.6,78,90,23.02,light snow
162,Tiarei,PF,-17.5333,-149.3333,77.0,78,20,3.44,light rain
163,Miraflores,MX,19.2167,-98.8083,69.8,26,20,3.09,few clouds
164,Souillac,MU,-20.5167,57.5167,80.6,83,40,1.79,scattered clouds
165,Bambanglipuro,ID,-7.95,110.2833,77.77,86,81,3.06,broken clouds
166,Kodiak,US,57.79,-152.4072,35.6,30,1,13.8,clear sky
167,Yenagoa,NG,4.9247,6.2642,93.07,44,65,6.22,broken clouds
168,Provideniya,RU,64.3833,-173.3,2.95,95,100,23.78,snow
169,Umm Lajj,SA,25.0213,37.2685,73.76,56,5,22.84,clear sky
170,Daru,PG,-9.0763,143.2092,81.23,86,94,15.32,overcast clouds
171,Hithadhoo,MV,-0.6,73.0833,82.38,76,100,18.23,overcast clouds
172,Flinders,AU,-34.5833,150.8552,60.01,84,71,3.56,broken clouds
173,Leningradskiy,RU,69.3833,178.4167,-18.27,94,20,3.67,few clouds
174,Zhigansk,RU,66.7697,123.3711,-2.61,99,83,3.67,broken clouds
175,Boa Vista,BR,2.8197,-60.6733,89.6,45,90,18.41,overcast clouds
176,Ossora,RU,59.2353,163.0719,0.61,79,5,9.19,clear sky
177,Klyuchi,RU,52.2667,79.1667,34.05,98,100,10.13,light rain
178,Reconquista,AR,-29.15,-59.65,71.26,56,1,10.54,clear sky
179,Lethem,GY,3.3803,-59.7968,86.0,62,75,13.8,broken clouds
180,Anzio,IT,41.4853,12.6179,64.99,72,0,12.66,clear sky
181,Semey,KZ,50.4111,80.2275,35.47,99,100,7.99,overcast clouds
182,Esperance,AU,-33.8667,121.9,68.0,83,0,8.05,clear sky
183,Hamamatsu,JP,34.7,137.7333,66.0,96,100,10.0,overcast clouds
184,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,64,20,5.75,few clouds
185,Churintzio,MX,20.15,-102.0667,76.69,18,38,3.49,scattered clouds
186,Khor,RU,47.8861,134.9464,35.65,97,100,8.28,overcast clouds
187,Beringovskiy,RU,63.05,179.3167,10.94,95,100,16.15,snow
188,Mana,GF,5.6592,-53.7767,81.79,77,94,13.53,moderate rain
189,Cayenne,GF,4.9333,-52.3333,81.0,94,90,6.91,mist
190,Norman Wells,CA,65.282,-126.8329,-4.0,71,75,18.41,snow
191,Cabedelo,BR,-6.9811,-34.8339,84.2,79,75,3.44,broken clouds
192,Hun,LY,29.1268,15.9477,72.37,15,77,8.25,broken clouds
193,Ust-Shonosha,RU,61.1531,41.343,34.38,78,100,7.9,overcast clouds
194,Chitral,PK,35.8462,71.7858,51.46,99,100,6.76,overcast clouds
195,Bethel,US,41.3712,-73.414,50.0,96,100,1.99,moderate rain
196,Alice Springs,AU,-23.7,133.8833,69.8,68,55,4.61,broken clouds
197,Geraldton,AU,-28.7667,114.6,69.8,78,40,5.75,scattered clouds
198,Mocuba,MZ,-16.8392,36.9856,72.34,95,47,4.41,light rain
199,San Cristobal,VE,7.7669,-72.225,78.8,83,75,2.3,broken clouds
200,Luderitz,NA,-26.6481,15.1594,67.57,68,5,8.43,clear sky
201,Sai Buri,TH,6.7013,101.6168,80.69,79,64,6.29,broken clouds
202,Portland,US,45.5234,-122.6762,48.0,76,75,9.22,broken clouds
203,Maloy,NO,61.9353,5.1136,44.6,87,40,13.8,scattered clouds
204,Luanda,AO,-8.8368,13.2343,87.8,58,20,12.66,few clouds
205,Ziro,IN,27.6333,93.8333,71.6,83,20,1.14,mist
206,Haines Junction,CA,60.7522,-137.5108,12.2,57,43,3.44,scattered clouds
207,Itapuranga,BR,-15.5622,-49.9486,83.39,54,85,3.36,overcast clouds
208,New Norfolk,AU,-42.7826,147.0587,55.0,65,60,1.99,broken clouds
209,Hofn,IS,64.2539,-15.2082,33.8,86,20,13.8,few clouds
210,Plettenberg Bay,ZA,-34.0527,23.3716,65.44,79,99,18.9,overcast clouds
211,Maceio,BR,-9.6658,-35.7353,77.0,88,75,11.5,broken clouds
212,Georgetown,MY,5.4112,100.3354,80.6,89,40,8.05,scattered clouds
213,Oktyabrskiy,RU,54.4815,53.471,23.02,95,100,5.39,overcast clouds
214,Adrar,MR,20.5022,-10.0711,98.15,4,47,10.67,scattered clouds
215,Sibolga,ID,1.7427,98.7792,78.06,86,70,2.44,broken clouds
216,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,77,20,8.05,few clouds
217,Dieppe,FR,49.75,1.1667,61.0,44,0,12.66,clear sky
218,Laguna,US,38.421,-121.4238,57.99,67,1,1.5,clear sky
219,Ahipara,NZ,-35.1667,173.1667,65.66,94,99,7.61,moderate rain
220,Port Lincoln,AU,-34.7333,135.8667,60.64,79,5,7.85,clear sky
221,Castro,BR,-24.7911,-50.0119,78.55,58,17,7.7,few clouds
222,Fez,MA,34.0372,-4.9998,66.2,59,40,10.36,scattered clouds
223,Biloela,AU,-24.4167,150.5,67.62,81,39,1.59,scattered clouds
224,Pangkalanbuun,ID,-2.6833,111.6167,75.9,93,100,1.16,overcast clouds
225,Lavrentiya,RU,65.5833,-171.0,1.92,96,100,13.35,light snow
226,Nobeoka,JP,32.5833,131.6667,48.99,88,2,1.01,clear sky
227,Honiara,SB,-9.4333,159.95,76.51,88,50,5.35,scattered clouds
228,Magistralnyy,RU,56.1725,107.4458,25.79,93,100,4.29,overcast clouds
229,Teahupoo,PF,-17.8333,-149.2667,77.0,78,20,4.61,light rain
230,Puerto Ayora,EC,-0.7393,-90.3518,81.0,78,40,9.22,scattered clouds
231,Banjar,ID,-8.19,114.9675,78.8,94,75,4.61,moderate rain
232,Sakakah,SA,29.9697,40.2064,68.0,10,0,4.61,clear sky
233,Port Hawkesbury,CA,45.6169,-61.3485,34.0,69,90,8.05,overcast clouds
234,Batagay-Alyta,RU,67.8006,130.4114,-3.48,86,98,5.08,overcast clouds
235,Miyazu,JP,35.5333,135.1833,55.36,97,96,2.17,overcast clouds
236,Pozhva,RU,59.0912,56.0847,27.48,89,29,7.94,scattered clouds
237,Abu Kamal,SY,34.4506,40.9171,60.4,18,0,7.9,clear sky
238,Lynn Haven,US,30.2455,-85.6483,79.0,82,100,5.01,overcast clouds
239,Almaznyy,RU,48.0448,40.045,48.2,53,20,6.71,few clouds
240,Itapeva,BR,-23.9822,-48.8756,84.74,49,25,7.14,scattered clouds
241,Taiyuan,CN,37.8694,112.5603,53.6,19,0,8.95,clear sky
242,Tsumeb,NA,-19.2333,17.7167,80.6,47,61,5.75,broken clouds
243,Kanina,CD,-10.7341,25.4699,65.77,89,100,2.44,moderate rain
244,Tessalit,ML,20.1986,1.0114,88.48,5,0,12.91,clear sky
245,Nanortalik,GL,60.1432,-45.2371,27.46,67,22,6.62,few clouds
246,Mirabad,AF,30.4362,61.8383,81.97,16,10,30.42,clear sky
247,Sri Aman,MY,1.2376,111.4621,78.8,94,100,1.92,moderate rain
248,Nicosia,CY,35.1667,33.3667,59.0,47,40,2.57,scattered clouds
249,Yar-Sale,RU,66.8333,70.8333,-8.61,98,11,9.51,few clouds
250,Guerrero Negro,MX,27.9769,-114.0611,69.4,29,0,2.51,clear sky
251,Vanersborg,SE,58.3807,12.3234,43.0,93,90,16.11,overcast clouds
252,Chumikan,RU,54.7183,135.315,12.38,99,99,4.92,overcast clouds
253,Nishihara,JP,26.1842,127.7558,71.6,94,75,3.42,broken clouds
254,Matara,LK,5.9485,80.5353,75.31,85,100,7.43,overcast clouds
255,Tumut,AU,-35.3,148.2167,48.2,100,17,1.14,few clouds
256,Iqaluit,CA,63.7506,-68.5145,10.4,72,90,19.57,overcast clouds
257,Lata,PT,40.1629,-8.3327,75.99,36,44,7.74,scattered clouds
258,Karla,EE,59.3723,24.9275,42.8,65,40,16.11,scattered clouds
259,Lasa,IT,46.6166,10.7002,68.0,26,0,5.75,clear sky
260,Oleksandrivka,UA,48.9634,32.2349,52.72,50,82,5.82,broken clouds
261,Kahului,US,20.8947,-156.47,71.6,83,20,13.8,few clouds
262,Vahan,AM,40.5755,45.3977,25.05,82,46,2.48,scattered clouds
263,Kushima,JP,31.4583,131.2333,53.01,87,2,8.99,clear sky
264,Mersing,MY,2.4312,103.8405,82.4,89,18,4.61,few clouds
265,Amsterdam,NL,52.374,4.8897,53.01,71,75,26.46,broken clouds
266,Sinnamary,GF,5.3833,-52.95,81.39,78,97,15.61,moderate rain
267,La Ronge,CA,55.1001,-105.2842,24.8,86,100,12.66,light snow
268,Pisco,PE,-13.7,-76.2167,73.4,73,0,6.91,clear sky
269,Fairbanks,US,64.8378,-147.7164,5.0,72,90,5.75,overcast clouds
270,Mackay,AU,-21.15,149.2,73.4,78,40,3.44,scattered clouds
271,Hay River,CA,60.8156,-115.7999,19.4,93,100,13.8,snow
272,Bandarbeyla,SO,9.4942,50.8122,79.95,71,86,7.45,overcast clouds
273,Ushtobe,KZ,45.2514,77.9838,52.27,65,89,5.23,overcast clouds
274,Vila,PT,42.0304,-8.1588,72.0,29,0,5.01,clear sky
275,Morgan City,US,29.6994,-91.2068,75.99,88,90,9.22,overcast clouds
276,Mpika,ZM,-11.8343,31.4529,63.54,95,86,4.03,light rain
277,Mount Gambier,AU,-37.8333,140.7667,55.4,94,90,6.91,overcast clouds
278,Klaksvik,FO,62.2266,-6.589,41.0,81,40,20.71,scattered clouds
279,Brae,GB,60.3964,-1.353,46.4,71,40,16.11,scattered clouds
280,Ornskoldsvik,SE,63.2909,18.7153,33.8,100,75,10.36,broken clouds
281,San Ramon,US,37.7799,-121.978,60.01,50,1,1.28,clear sky
282,Grand Gaube,MU,-20.0064,57.6608,81.0,74,12,0.83,few clouds
283,Sisimiut,GL,66.9395,-53.6735,1.27,59,21,5.93,few clouds
284,Cabo San Lucas,MX,22.8909,-109.9124,73.0,55,75,2.93,broken clouds
285,Hamilton,US,39.1834,-84.5333,51.01,70,95,7.0,overcast clouds
286,Half Moon Bay,US,37.4636,-122.4286,59.0,71,20,2.84,few clouds
287,Sayyan,YE,15.1718,44.3244,62.29,16,4,12.71,clear sky
288,La Palma,US,33.8464,-118.0467,64.99,42,1,4.61,clear sky
289,Chabahar,IR,25.2919,60.643,80.46,65,100,13.89,overcast clouds
290,Bilibino,RU,68.0546,166.4372,-25.1,96,30,3.96,scattered clouds
291,Dharchula,IN,29.85,80.5333,63.34,37,68,6.6,broken clouds
292,Panaba,MX,21.2833,-88.2667,89.76,40,2,14.32,clear sky
293,Seminole,US,28.7086,-81.2081,84.99,61,75,14.97,broken clouds
294,Coihaique,CL,-45.5752,-72.0662,60.8,67,75,2.3,broken clouds
295,Alamos,MX,27.0167,-108.9333,69.01,64,0,4.0,clear sky
296,Nemuro,JP,43.3236,145.575,39.94,97,100,30.33,moderate rain
297,Banda Aceh,ID,5.5577,95.3222,77.16,86,100,7.94,overcast clouds
298,Vila Velha,BR,-20.3297,-40.2925,89.6,58,20,8.05,few clouds
299,Asilah,MA,35.465,-6.0348,64.4,68,75,28.77,broken clouds
300,Forio,IT,40.7342,13.8646,62.01,75,0,14.0,clear sky
301,Hasaki,JP,35.7333,140.8333,62.6,94,75,16.11,moderate rain
